cli-0,cli-0,cli-1,cli-1,cli-2,cli-2
wavelength,counts,wavelength,counts,wavelength,counts
633.2375513110259,50,633.2375513110259,80,633.2375513110259,100
633.6572403549072,-50,633.6572403549072,-30,633.6572403549072,-30
634.0769184695838,0,634.0769184695838,10,634.0769184695838,-10
634.4965856322267,20,634.4965856322267,0,634.4965856322267,-10
634.9162418200073,70,634.9162418200073,20,634.9162418200073,50
635.3358870100968,60,635.3358870100968,40,635.3358870100968,20
635.7555211796666,30,635.7555211796666,10,635.7555211796666,20
636.1751443058879,50,636.1751443058879,80,636.1751443058879,30
636.5947563659319,80,636.5947563659319,20,636.5947563659319,-20
637.01435733697,50,637.01435733697,-30,637.01435733697,30
637.4339471961733,30,637.4339471961733,-30,637.4339471961733,10
637.8535259207132,0,637.8535259207132,0,637.8535259207132,10
638.273093487761,-30,638.273093487761,-20,638.273093487761,0
638.692649874488,30,638.692649874488,0,638.692649874488,-10
639.1121950580653,50,639.1121950580653,80,639.1121950580653,80
639.5317290156643,40,639.5317290156643,50,639.5317290156643,100
639.9512517244561,40,639.9512517244561,30,639.9512517244561,50
640.3707631616122,70,640.3707631616122,20,640.3707631616122,60
640.7902633043038,40,640.7902633043038,10,640.7902633043038,30
641.2097521297022,30,641.2097521297022,50,641.2097521297022,20
641.6292296149786,70,641.6292296149786,60,641.6292296149786,90
642.0486957373043,10,642.0486957373043,40,642.0486957373043,-20
642.4681504738506,-40,642.4681504738506,-30,642.4681504738506,10
642.8875938017887,-20,642.8875938017887,0,642.8875938017887,-10
643.30702569829,80,643.30702569829,70,643.30702569829,30
643.7264461405256,50,643.7264461405256,20,643.7264461405256,0
644.1458551056669,0,644.1458551056669,40,644.1458551056669,20
644.565252570885,-50,644.565252570885,0,644.565252570885,-30
644.9846385133515,-10,644.9846385133515,10,644.9846385133515,0
645.4040129102374,0,645.4040129102374,-10,645.4040129102374,-20
645.823375738714,30,645.823375738714,90,645.823375738714,50
646.2427269759527,30,646.2427269759527,50,646.2427269759527,-20
646.6620665991246,50,646.6620665991246,-20,646.6620665991246,20
647.0813945854012,50,647.0813945854012,0,647.0813945854012,20
647.5007109119535,30,647.5007109119535,40,647.5007109119535,30
647.920015555953,-10,647.920015555953,-20,647.920015555953,10
648.3393084945709,60,648.3393084945709,30,648.3393084945709,30
648.7585897049784,60,648.7585897049784,10,648.7585897049784,30
649.1778591643467,60,649.1778591643467,20,649.1778591643467,80
649.5971168498475,40,649.5971168498475,100,649.5971168498475,60
650.0163627386515,50,650.0163627386515,0,650.0163627386515,40
650.4355968079303,20,650.4355968079303,10,650.4355968079303,-20
650.8548190348552,40,650.8548190348552,70,650.8548190348552,20
651.2740293965974,30,651.2740293965974,30,651.2740293965974,20
651.693227870328,0,651.693227870328,-20,651.693227870328,-20
652.1124144332185,80,652.1124144332185,10,652.1124144332185,50
652.5315890624402,-10,652.5315890624402,0,652.5315890624402,0
652.9507517351642,100,652.9507517351642,40,652.9507517351642,10
653.3699024285618,-10,653.3699024285618,0,653.3699024285618,-10
653.7890411198043,-10,653.7890411198043,-60,653.7890411198043,-20
654.2081677860631,-20,654.2081677860631,50,654.2081677860631,20
654.6272824045093,70,654.6272824045093,40,654.6272824045093,70
655.0463849523143,-10,655.0463849523143,20,655.0463849523143,0
655.4654754066491,40,655.4654754066491,0,655.4654754066491,30
655.8845537446854,110,655.8845537446854,70,655.8845537446854,80
656.3036199435942,70,656.3036199435942,90,656.3036199435942,0
656.7226739805468,130,656.7226739805468,120,656.7226739805468,140
657.1417158327145,80,657.1417158327145,120,657.1417158327145,60
657.5607454772686,120,657.5607454772686,40,657.5607454772686,150
657.9797628913802,140,657.9797628913802,120,657.9797628913802,130
658.3987680522209,130,658.3987680522209,90,658.3987680522209,120
658.8177609369617,170,658.8177609369617,120,658.8177609369617,150
659.2367415227739,110,659.2367415227739,100,659.2367415227739,70
659.6557097868289,80,659.6557097868289,70,659.6557097868289,100
660.0746657062979,120,660.0746657062979,150,660.0746657062979,130
660.4936092583521,110,660.4936092583521,130,660.4936092583521,120
660.9125404201628,120,660.9125404201628,110,660.9125404201628,50
661.3314591689015,180,661.3314591689015,110,661.3314591689015,110
661.7503654817392,110,661.7503654817392,50,661.7503654817392,40
662.1692593358472,30,662.1692593358472,80,662.1692593358472,40
662.5881407083968,10,662.5881407083968,20,662.5881407083968,50
663.0070095765594,70,663.0070095765594,30,663.0070095765594,60
663.4258659175061,60,663.4258659175061,50,663.4258659175061,10
663.8447097084083,50,663.8447097084083,50,663.8447097084083,60
664.2635409264374,-30,664.2635409264374,-90,664.2635409264374,-60
664.6823595487642,30,664.6823595487642,0,664.6823595487642,30
665.1011655525604,0,665.1011655525604,70,665.1011655525604,70
665.5199589149971,30,665.5199589149971,40,665.5199589149971,40
665.9387396132456,-30,665.9387396132456,10,665.9387396132456,20
666.3575076244772,30,666.3575076244772,10,666.3575076244772,40
666.7762629258632,50,666.7762629258632,-30,666.7762629258632,0
667.1950054945747,60,667.1950054945747,80,667.1950054945747,60
667.6137353077831,60,667.6137353077831,50,667.6137353077831,40
668.0324523426598,-10,668.0324523426598,0,668.0324523426598,-10
668.4511565763759,10,668.4511565763759,50,668.4511565763759,20
668.8698479861027,90,668.8698479861027,20,668.8698479861027,50
669.2885265490114,0,669.2885265490114,-10,669.2885265490114,10
669.7071922422734,70,669.7071922422734,60,669.7071922422734,40
670.12584504306,30,670.12584504306,10,670.12584504306,-30
670.5444849285424,80,670.5444849285424,30,670.5444849285424,30
670.9631118758919,70,670.9631118758919,0,670.9631118758919,40
671.3817258622796,100,671.3817258622796,100,671.3817258622796,90
671.800326864877,70,671.800326864877,40,671.800326864877,70
672.2189148608552,90,672.2189148608552,30,672.2189148608552,70
672.6374898273856,10,672.6374898273856,-10,672.6374898273856,-20
673.0560517416395,-10,673.0560517416395,-20,673.0560517416395,-20
673.4746005807881,-10,673.4746005807881,-10,673.4746005807881,-20
673.8931363220026,20,673.8931363220026,70,673.8931363220026,50
674.3116589424544,50,674.3116589424544,20,674.3116589424544,30
674.7301684193147,50,674.7301684193147,0,674.7301684193147,40
675.1486647297548,90,675.1486647297548,90,675.1486647297548,70
675.567147850946,80,675.567147850946,70,675.567147850946,50
675.9856177600595,-20,675.9856177600595,10,675.9856177600595,0
676.4040744342666,10,676.4040744342666,10,676.4040744342666,20
676.8225178507386,80,676.8225178507386,50,676.8225178507386,50
677.2409479866467,40,677.2409479866467,0,677.2409479866467,10
677.6593648191623,30,677.6593648191623,40,677.6593648191623,0
678.0777683254566,40,678.0777683254566,-10,678.0777683254566,0
678.4961584827008,40,678.4961584827008,20,678.4961584827008,0
678.9145352680663,60,678.9145352680663,-10,678.9145352680663,30
679.3328986587243,100,679.3328986587243,40,679.3328986587243,50
679.7512486318461,80,679.7512486318461,50,679.7512486318461,80
680.169585164603,-10,680.169585164603,50,680.169585164603,50
680.5879082341661,60,680.5879082341661,10,680.5879082341661,60
681.0062178177068,0,681.0062178177068,20,681.0062178177068,0
681.4245138923965,40,681.4245138923965,10,681.4245138923965,40
681.8427964354063,50,681.8427964354063,30,681.8427964354063,0
682.2610654239074,50,682.2610654239074,50,682.2610654239074,0
682.6793208350714,0,682.6793208350714,-40,682.6793208350714,-30
683.0975626460692,40,683.0975626460692,80,683.0975626460692,0
683.5157908340723,70,683.5157908340723,80,683.5157908340723,90
683.9340053762519,60,683.9340053762519,70,683.9340053762519,10
684.3522062497792,30,684.3522062497792,20,684.3522062497792,10
684.7703934318256,30,684.7703934318256,80,684.7703934318256,20
685.1885668995624,60,685.1885668995624,80,685.1885668995624,100
685.6067266301607,30,685.6067266301607,70,685.6067266301607,60
686.0248726007919,70,686.0248726007919,70,686.0248726007919,30
686.4430047886273,-10,686.4430047886273,-20,686.4430047886273,10
686.861123170838,70,686.861123170838,50,686.861123170838,50
687.2792277245954,20,687.2792277245954,-10,687.2792277245954,20
687.6973184270709,0,687.6973184270709,-40,687.6973184270709,50
688.1153952554354,20,688.1153952554354,30,688.1153952554354,60
688.5334581868606,70,688.5334581868606,70,688.5334581868606,30
688.9515071985174,50,688.9515071985174,40,688.9515071985174,30
689.3695422675773,60,689.3695422675773,70,689.3695422675773,30
689.7875633712115,10,689.7875633712115,70,689.7875633712115,20
690.2055704865913,20,690.2055704865913,10,690.2055704865913,20
690.623563590888,-40,690.623563590888,0,690.623563590888,0
691.0415426612728,20,691.0415426612728,-30,691.0415426612728,30
691.4595076749171,60,691.4595076749171,40,691.4595076749171,20
691.8774586089919,40,691.8774586089919,60,691.8774586089919,40
692.2953954406688,20,692.2953954406688,10,692.2953954406688,-20
692.7133181471188,50,692.7133181471188,110,692.7133181471188,60
693.1312267055134,0,693.1312267055134,40,693.1312267055134,30
693.5491210930237,70,693.5491210930237,70,693.5491210930237,70
693.967001286821,50,693.967001286821,60,693.967001286821,0
694.3848672640767,100,694.3848672640767,80,694.3848672640767,60
694.8027190019619,120,694.8027190019619,60,694.8027190019619,60
695.220556477648,50,695.220556477648,60,695.220556477648,30
695.6383796683061,60,695.6383796683061,60,695.6383796683061,30
696.0561885511078,10,696.0561885511078,50,696.0561885511078,30
696.473983103224,50,696.473983103224,40,696.473983103224,70
696.8917633018262,-40,696.8917633018262,-10,696.8917633018262,0
697.3095291240857,30,697.3095291240857,80,697.3095291240857,60
697.7272805471735,80,697.7272805471735,50,697.7272805471735,100
698.1450175482612,110,698.1450175482612,50,698.1450175482612,80
698.5627401045199,120,698.5627401045199,120,698.5627401045199,120
698.9804481931208,130,698.9804481931208,80,698.9804481931208,100
699.3981417912354,130,699.3981417912354,100,699.3981417912354,110
699.8158208760348,200,699.8158208760348,120,699.8158208760348,130
700.2334854246902,190,700.2334854246902,70,700.2334854246902,150
700.6511354143731,100,700.6511354143731,70,700.6511354143731,90
701.0687708222547,150,701.0687708222547,150,701.0687708222547,50
701.4863916255061,110,701.4863916255061,100,701.4863916255061,160
701.9039978012988,160,701.9039978012988,160,701.9039978012988,120
702.3215893268041,130,702.3215893268041,60,702.3215893268041,170
702.7391661791929,200,702.7391661791929,140,702.7391661791929,140
703.1567283356369,130,703.1567283356369,130,703.1567283356369,110
703.5742757733071,90,703.5742757733071,80,703.5742757733071,100
703.991808469375,80,703.991808469375,40,703.991808469375,80
704.4093264010115,150,704.4093264010115,90,704.4093264010115,70
704.8268295453883,190,704.8268295453883,140,704.8268295453883,150
705.2443178796764,140,705.2443178796764,140,705.2443178796764,110
705.6617913810471,150,705.6617913810471,170,705.6617913810471,120
706.0792500266718,110,706.0792500266718,130,706.0792500266718,100
706.4966937937218,180,706.4966937937218,110,706.4966937937218,140
706.9141226593681,210,706.9141226593681,90,706.9141226593681,80
707.3315366007822,140,707.3315366007822,90,707.3315366007822,70
707.7489355951353,60,707.7489355951353,100,707.7489355951353,20
708.1663196195987,210,708.1663196195987,170,708.1663196195987,130
708.5836886513437,120,708.5836886513437,70,708.5836886513437,60
709.0010426675415,100,709.0010426675415,130,709.0010426675415,110
709.4183816453633,130,709.4183816453633,130,709.4183816453633,70
709.8357055619806,200,709.8357055619806,70,709.8357055619806,140
710.2530143945644,180,710.2530143945644,100,710.2530143945644,120
710.6703081202862,170,710.6703081202862,80,710.6703081202862,70
711.0875867163172,110,711.0875867163172,70,711.0875867163172,20
711.5048501598287,180,711.5048501598287,90,711.5048501598287,100
711.922098427992,160,711.922098427992,120,711.922098427992,140
712.3393314979782,150,712.3393314979782,190,712.3393314979782,100
712.7565493469586,150,712.7565493469586,110,712.7565493469586,100
713.1737519521047,190,713.1737519521047,180,713.1737519521047,140
713.5909392905875,130,713.5909392905875,70,713.5909392905875,80
714.0081113395785,220,714.0081113395785,160,714.0081113395785,170
714.4252680762488,140,714.4252680762488,100,714.4252680762488,120
714.8424094777697,200,714.8424094777697,120,714.8424094777697,160
715.2595355213125,180,715.2595355213125,90,715.2595355213125,80
715.6766461840486,160,715.6766461840486,120,715.6766461840486,120
